Latitude (degree),Longitude (degree),Ocean,Region,Marine Setting,Microplastics Measurement,Unit,Concentration Class,Sample Date
45.28,-60.29,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,7/13/1989 12:00:00 AM
40.93,-70.65,Atlantic Ocean,,Ocean water,0.002276,pieces/m3,Low,10/12/1989 12:00:00 AM
40.93,-70.65,Atlantic Ocean,,Ocean water,0.00432,pieces/m3,Low,10/12/1989 12:00:00 AM
40.3,-69.77,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/12/1989 12:00:00 AM
39.88,-67.15,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/15/1989 12:00:00 AM
37.83,-63.73,Atlantic Ocean,,Ocean water,0.043196,pieces/m3,Medium,10/18/1989 12:00:00 AM
37.83,-63.73,Atlantic Ocean,,Ocean water,0.535636,pieces/m3,Medium,10/18/1989 12:00:00 AM
36.9,-63.38,Atlantic Ocean,,Ocean water,0.069116,pieces/m3,Medium,10/19/1989 12:00:00 AM
36.9,-63.38,Atlantic Ocean,,Ocean water,0.084232,pieces/m3,Medium,10/19/1989 12:00:00 AM
35.7,-61.98,Atlantic Ocean,,Ocean water,0.299496,pieces/m3,Medium,10/20/1989 12:00:00 AM
34.7,-61.98,Atlantic Ocean,,Ocean water,0.01152,pieces/m3,Medium,10/20/1989 12:00:00 AM
34.87,-57.38,Atlantic Ocean,,Ocean water,0.035992,pieces/m3,Medium,10/23/1989 12:00:00 AM
34.87,-57.38,Atlantic Ocean,,Ocean water,0.00864,pieces/m3,Medium,10/23/1989 12:00:00 AM
32.65,-57.2,Atlantic Ocean,,Ocean water,0.028232,pieces/m3,Medium,10/24/1989 12:00:00 AM
32.65,-57.2,Atlantic Ocean,,Ocean water,0.151188,pieces/m3,Medium,10/24/1989 12:00:00 AM
22.9,-59.27,Atlantic Ocean,,Ocean water,0.0368,pieces/m3,Medium,10/30/1989 12:00:00 AM
22.9,-59.27,Atlantic Ocean,,Ocean water,0.011628,pieces/m3,Medium,10/30/1989 12:00:00 AM
17.8,-64.32,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,11/29/1989 12:00:00 AM
17.8,-64.32,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,11/29/1989 12:00:00 AM
17.0,-63.72,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/2/1989 12:00:00 AM
17.0,-63.72,Atlantic Ocean,Caribbean Sea,Ocean water,0.00576,pieces/m3,Medium,12/2/1989 12:00:00 AM
16.47,-63.63,Atlantic Ocean,Caribbean Sea,Ocean water,0.00432,pieces/m3,Low,12/2/1989 12:00:00 AM
16.47,-63.63,Atlantic Ocean,Caribbean Sea,Ocean water,0.00648,pieces/m3,Medium,12/2/1989 12:00:00 AM
16.63,-63.5,Atlantic Ocean,Caribbean Sea,Ocean water,0.00216,pieces/m3,Low,12/3/1989 12:00:00 AM
16.63,-63.5,Atlantic Ocean,Caribbean Sea,Ocean water,0.00432,pieces/m3,Low,12/3/1989 12:00:00 AM
16.6,-63.07,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/4/1989 12:00:00 AM
16.6,-63.07,Atlantic Ocean,Caribbean Sea,Ocean water,0.0036,pieces/m3,Low,12/4/1989 12:00:00 AM
16.97,-62.68,Atlantic Ocean,Caribbean Sea,Ocean water,0.01512,pieces/m3,Medium,12/4/1989 12:00:00 AM
16.97,-62.68,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/4/1989 12:00:00 AM
16.08,-62.2,Atlantic Ocean,Caribbean Sea,Ocean water,0.00648,pieces/m3,Medium,12/5/1989 12:00:00 AM
16.08,-62.2,Atlantic Ocean,Caribbean Sea,Ocean water,0.0108,pieces/m3,Medium,12/5/1989 12:00:00 AM
15.55,-62.17,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/5/1989 12:00:00 AM
15.55,-62.17,Atlantic Ocean,Caribbean Sea,Ocean water,0.00864,pieces/m3,Medium,12/5/1989 12:00:00 AM
15.1,-61.98,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/6/1989 12:00:00 AM
15.1,-61.98,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/6/1989 12:00:00 AM
13.98,-61.7,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/6/1989 12:00:00 AM
13.98,-61.7,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/6/1989 12:00:00 AM
12.22,-61.77,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/8/1989 12:00:00 AM
12.22,-61.77,Atlantic Ocean,Caribbean Sea,Ocean water,0.00648,pieces/m3,Medium,12/8/1989 12:00:00 AM
12.48,-61.47,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/10/1989 12:00:00 AM
12.65,-62.57,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/13/1989 12:00:00 AM
12.65,-62.57,Atlantic Ocean,Caribbean Sea,Ocean water,0.00216,pieces/m3,Low,12/13/1989 12:00:00 AM
13.05,-63.12,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/13/1989 12:00:00 AM
13.05,-63.12,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/13/1989 12:00:00 AM
13.5,-63.35,Atlantic Ocean,Caribbean Sea,Ocean water,0.008232,pieces/m3,Medium,12/14/1989 12:00:00 AM
13.5,-63.35,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/14/1989 12:00:00 AM
14.68,-64.43,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/14/1989 12:00:00 AM
14.68,-64.43,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/14/1989 12:00:00 AM
15.8,-65.3,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/15/1989 12:00:00 AM
15.8,-65.3,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/15/1989 12:00:00 AM
16.48,-65.9,Atlantic Ocean,Caribbean Sea,Ocean water,0.00432,pieces/m3,Low,12/15/1989 12:00:00 AM
16.48,-65.9,Atlantic Ocean,Caribbean Sea,Ocean water,0.00432,pieces/m3,Low,12/15/1989 12:00:00 AM
16.6,-66.1,Atlantic Ocean,Caribbean Sea,Ocean water,0.0027,pieces/m3,Low,12/16/1989 12:00:00 AM
16.6,-66.1,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/16/1989 12:00:00 AM
17.23,-66.87,Atlantic Ocean,Caribbean Sea,Ocean water,0.0108,pieces/m3,Medium,12/16/1989 12:00:00 AM
17.23,-66.87,Atlantic Ocean,Caribbean Sea,Ocean water,0.00432,pieces/m3,Low,12/16/1989 12:00:00 AM
17.9,-67.62,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/17/1989 12:00:00 AM
17.9,-67.62,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/17/1989 12:00:00 AM
17.9,-67.82,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/17/1989 12:00:00 AM
17.9,-67.82,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/17/1989 12:00:00 AM
18.03,-68.42,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/18/1989 12:00:00 AM
18.03,-68.42,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/18/1989 12:00:00 AM
17.4,-68.78,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/18/1989 12:00:00 AM
17.4,-68.78,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/18/1989 12:00:00 AM
17.87,-70.4,Atlantic Ocean,Caribbean Sea,Ocean water,0.00432,pieces/m3,Low,12/22/1989 12:00:00 AM
17.87,-70.4,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/22/1989 12:00:00 AM
16.68,-71.35,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/22/1989 12:00:00 AM
16.68,-71.35,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/22/1989 12:00:00 AM
17.35,-72.5,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/23/1989 12:00:00 AM
17.35,-72.5,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/23/1989 12:00:00 AM
16.22,-74.47,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/24/1989 12:00:00 AM
16.22,-74.47,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/24/1989 12:00:00 AM
16.25,-74.98,Atlantic Ocean,Caribbean Sea,Ocean water,0.00648,pieces/m3,Medium,12/24/1989 12:00:00 AM
16.25,-74.98,Atlantic Ocean,Caribbean Sea,Ocean water,0.00432,pieces/m3,Low,12/24/1989 12:00:00 AM
16.48,-76.0,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/25/1989 12:00:00 AM
16.48,-76.0,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/25/1989 12:00:00 AM
16.88,-77.5,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/27/1989 12:00:00 AM
16.88,-77.5,Atlantic Ocean,Caribbean Sea,Ocean water,0.0,pieces/m3,Very Low,12/27/1989 12:00:00 AM
26.28,-78.62,Atlantic Ocean,,Ocean water,0.0216,pieces/m3,Medium,4/6/1990 12:00:00 AM
25.37,-76.0,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/8/1990 12:00:00 AM
25.37,-76.0,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/9/1990 12:00:00 AM
22.27,-73.75,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/13/1990 12:00:00 AM
22.27,-73.75,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/13/1990 12:00:00 AM
22.8,-73.8,Atlantic Ocean,,Ocean water,0.049676,pieces/m3,Medium,4/14/1990 12:00:00 AM
22.86,-73.86,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/15/1990 12:00:00 AM
23.17,-73.78,Atlantic Ocean,,Ocean water,0.00648,pieces/m3,Medium,4/16/1990 12:00:00 AM
23.17,-73.78,Atlantic Ocean,,Ocean water,0.00432,pieces/m3,Low,4/17/1990 12:00:00 AM
23.63,-73.75,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/17/1990 12:00:00 AM
24.03,-74.04,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/18/1990 12:00:00 AM
24.22,-74.4,Atlantic Ocean,,Ocean water,0.001168,pieces/m3,Low,4/23/1990 12:00:00 AM
24.22,-74.4,Atlantic Ocean,,Ocean water,0.00648,pieces/m3,Medium,4/24/1990 12:00:00 AM
24.91,-74.4,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/24/1990 12:00:00 AM
24.78,-74.37,Atlantic Ocean,,Ocean water,0.00864,pieces/m3,Medium,4/24/1990 12:00:00 AM
24.83,-74.42,Atlantic Ocean,,Ocean water,0.00864,pieces/m3,Medium,4/24/1990 12:00:00 AM
24.83,-74.42,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/24/1990 12:00:00 AM
25.58,-74.8,Atlantic Ocean,,Ocean water,0.00648,pieces/m3,Medium,4/25/1990 12:00:00 AM
25.58,-74.8,Atlantic Ocean,,Ocean water,0.028076,pieces/m3,Medium,4/25/1990 12:00:00 AM
26.14,-74.87,Atlantic Ocean,,Ocean water,0.058316,pieces/m3,Medium,4/26/1990 12:00:00 AM
26.14,-74.87,Atlantic Ocean,,Ocean water,0.069116,pieces/m3,Medium,4/27/1990 12:00:00 AM
26.58,-75.04,Atlantic Ocean,,Ocean water,0.018,pieces/m3,Medium,4/26/1990 12:00:00 AM
27.4,-74.08,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/27/1990 12:00:00 AM
28.45,-71.93,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/29/1990 12:00:00 AM
28.74,-71.72,Atlantic Ocean,,Ocean water,0.064796,pieces/m3,Medium,4/29/1990 12:00:00 AM
29.14,-71.19,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/29/1990 12:00:00 AM
29.14,-71.19,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/29/1990 12:00:00 AM
30.5,-69.13,Atlantic Ocean,,Ocean water,0.028076,pieces/m3,Medium,5/2/1990 12:00:00 AM
31.16,-67.29,Atlantic Ocean,,Ocean water,0.794816,pieces/m3,Medium,5/2/1990 12:00:00 AM
31.72,-65.07,Atlantic Ocean,,Ocean water,0.025916,pieces/m3,Medium,5/3/1990 12:00:00 AM
44.55,-62.69,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,8/16/1990 12:00:00 AM
44.55,-62.69,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,8/16/1990 12:00:00 AM
42.9,-64.04,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,8/17/1990 12:00:00 AM
42.9,-64.04,Atlantic Ocean,,Ocean water,0.00216,pieces/m3,Low,8/17/1990 12:00:00 AM
42.71,-65.39,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,8/17/1990 12:00:00 AM
42.71,-65.39,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,8/17/1990 12:00:00 AM
42.74,-70.31,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,8/22/1990 12:00:00 AM
42.74,-70.31,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,8/22/1990 12:00:00 AM
41.3,-68.74,Atlantic Ocean,,Ocean water,0.00216,pieces/m3,Low,8/23/1990 12:00:00 AM
41.3,-68.74,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,8/23/1990 12:00:00 AM
17.98,-63.98,Atlantic Ocean,Caribbean Sea,Ocean water,0.00432,pieces/m3,Low,1/3/1990 12:00:00 AM
18.47,-64.45,Atlantic Ocean,Caribbean Sea,Ocean water,0.025916,pieces/m3,Medium,1/15/1991 12:00:00 AM
26.42,-78.7,Atlantic Ocean,,Ocean water,0.01296,pieces/m3,Medium,4/19/1991 12:00:00 AM
26.42,-78.7,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/19/1991 12:00:00 AM
25.87,-79.97,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/20/1991 12:00:00 AM
25.87,-79.97,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/20/1991 12:00:00 AM
25.65,-76.72,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/20/1991 12:00:00 AM
25.65,-76.72,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/20/1991 12:00:00 AM
24.55,-76.1,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/23/1991 12:00:00 AM
24.55,-76.1,Atlantic Ocean,,Ocean water,0.016612,pieces/m3,Medium,4/24/1991 12:00:00 AM
24.46,-76.27,Atlantic Ocean,,Ocean water,0.0108,pieces/m3,Medium,4/25/1991 12:00:00 AM
24.46,-76.27,Atlantic Ocean,,Ocean water,0.00432,pieces/m3,Low,4/25/1991 12:00:00 AM
24.75,-75.87,Atlantic Ocean,,Ocean water,0.0108,pieces/m3,Medium,4/25/1991 12:00:00 AM
24.75,-75.87,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/25/1991 12:00:00 AM
25.18,-75.5,Atlantic Ocean,,Ocean water,0.025916,pieces/m3,Medium,4/26/1991 12:00:00 AM
25.18,-75.5,Atlantic Ocean,,Ocean water,0.0216,pieces/m3,Medium,4/26/1991 12:00:00 AM
25.58,-75.0,Atlantic Ocean,,Ocean water,0.029696,pieces/m3,Medium,4/26/1991 12:00:00 AM
25.58,-75.0,Atlantic Ocean,,Ocean water,0.032396,pieces/m3,Medium,4/26/1991 12:00:00 AM
26.28,-74.82,Atlantic Ocean,,Ocean water,0.01728,pieces/m3,Medium,4/27/1991 12:00:00 AM
26.28,-74.82,Atlantic Ocean,,Ocean water,0.02638,pieces/m3,Medium,4/27/1991 12:00:00 AM
26.85,-74.42,Atlantic Ocean,,Ocean water,0.00166,pieces/m3,Low,4/28/1991 12:00:00 AM
26.85,-74.42,Atlantic Ocean,,Ocean water,0.077752,pieces/m3,Medium,4/28/1991 12:00:00 AM
27.9,-74.37,Atlantic Ocean,,Ocean water,0.133908,pieces/m3,Medium,4/29/1991 12:00:00 AM
27.9,-74.37,Atlantic Ocean,,Ocean water,0.090712,pieces/m3,Medium,4/29/1991 12:00:00 AM
28.48,-73.48,Atlantic Ocean,,Ocean water,0.015432,pieces/m3,Medium,4/29/1991 12:00:00 AM
28.48,-73.48,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,4/30/1991 12:00:00 AM
29.44,-71.97,Atlantic Ocean,,Ocean water,0.125268,pieces/m3,Medium,4/30/1991 12:00:00 AM
29.44,-71.97,Atlantic Ocean,,Ocean water,0.0108,pieces/m3,Medium,5/1/1991 12:00:00 AM
29.83,-70.88,Atlantic Ocean,,Ocean water,0.081028,pieces/m3,Medium,5/1/1991 12:00:00 AM
29.83,-70.88,Atlantic Ocean,,Ocean water,0.01944,pieces/m3,Medium,5/1/1991 12:00:00 AM
30.12,-70.5,Atlantic Ocean,,Ocean water,0.057596,pieces/m3,Medium,5/2/1991 12:00:00 AM
30.12,-70.5,Atlantic Ocean,,Ocean water,0.127428,pieces/m3,Medium,5/2/1991 12:00:00 AM
30.97,-69.62,Atlantic Ocean,,Ocean water,0.0108,pieces/m3,Medium,5/3/1991 12:00:00 AM
30.97,-69.62,Atlantic Ocean,,Ocean water,0.0216,pieces/m3,Medium,5/3/1991 12:00:00 AM
31.0,-68.78,Atlantic Ocean,,Ocean water,0.051836,pieces/m3,Medium,5/3/1991 12:00:00 AM
31.0,-68.78,Atlantic Ocean,,Ocean water,0.043196,pieces/m3,Medium,5/3/1991 12:00:00 AM
31.32,-67.87,Atlantic Ocean,,Ocean water,0.075592,pieces/m3,Medium,5/4/1991 12:00:00 AM
31.32,-67.87,Atlantic Ocean,,Ocean water,0.01728,pieces/m3,Medium,5/4/1991 12:00:00 AM
31.43,-67.13,Atlantic Ocean,,Ocean water,0.045356,pieces/m3,Medium,5/4/1991 12:00:00 AM
31.43,-67.13,Atlantic Ocean,,Ocean water,0.023684,pieces/m3,Medium,5/4/1991 12:00:00 AM
32.08,-65.2,Atlantic Ocean,,Ocean water,0.077752,pieces/m3,Medium,5/5/1991 12:00:00 AM
32.08,-65.2,Atlantic Ocean,,Ocean water,0.024308,pieces/m3,Medium,5/5/1991 12:00:00 AM
33.73,-64.85,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,5/10/1991 12:00:00 AM
33.73,-64.85,Atlantic Ocean,,Ocean water,0.060476,pieces/m3,Medium,5/10/1991 12:00:00 AM
34.95,-64.75,Atlantic Ocean,,Ocean water,0.00648,pieces/m3,Medium,5/10/1991 12:00:00 AM
34.95,-64.75,Atlantic Ocean,,Ocean water,0.0072,pieces/m3,Medium,5/11/1991 12:00:00 AM
34.45,-65.72,Atlantic Ocean,,Ocean water,0.039604,pieces/m3,Medium,5/13/1991 12:00:00 AM
34.45,-65.72,Atlantic Ocean,,Ocean water,0.034556,pieces/m3,Medium,5/13/1991 12:00:00 AM
39.31,-66.02,Atlantic Ocean,,Ocean water,0.00648,pieces/m3,Medium,5/13/1991 12:00:00 AM
39.31,-66.02,Atlantic Ocean,,Ocean water,0.028076,pieces/m3,Medium,5/13/1991 12:00:00 AM
43.77,-63.98,Atlantic Ocean,,Ocean water,0.00216,pieces/m3,Low,5/21/1991 12:00:00 AM
43.77,-63.98,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,5/21/1991 12:00:00 AM
41.01,-70.59,Atlantic Ocean,,Ocean water,0.00432,pieces/m3,Low,6/25/1991 12:00:00 AM
41.01,-70.59,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,6/25/1991 12:00:00 AM
41.6,-69.21,Atlantic Ocean,,Ocean water,0.00432,pieces/m3,Low,6/26/1991 12:00:00 AM
41.6,-69.21,Atlantic Ocean,,Ocean water,0.00216,pieces/m3,Low,6/26/1991 12:00:00 AM
42.66,-70.42,Atlantic Ocean,Stellwagen Bank National Marine Sanctuary,Ocean water,0.0,pieces/m3,Very Low,6/27/1991 12:00:00 AM
42.66,-70.42,Atlantic Ocean,Stellwagen Bank National Marine Sanctuary,Ocean water,0.0,pieces/m3,Very Low,6/28/1991 12:00:00 AM
41.91,-69.5,Atlantic Ocean,,Ocean water,0.00216,pieces/m3,Low,7/2/1991 12:00:00 AM
41.91,-69.5,Atlantic Ocean,,Ocean water,0.00216,pieces/m3,Low,7/2/1991 12:00:00 AM
40.77,-68.69,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,7/3/1991 12:00:00 AM
40.77,-68.69,Atlantic Ocean,,Ocean water,0.00432,pieces/m3,Low,7/3/1991 12:00:00 AM
41.03,-70.81,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,7/4/1991 12:00:00 AM
41.03,-70.81,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,7/4/1991 12:00:00 AM
40.98,-70.62,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/11/1991 12:00:00 AM
40.98,-70.62,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/11/1991 12:00:00 AM
40.18,-70.2,Atlantic Ocean,,Ocean water,0.00216,pieces/m3,Low,10/12/1991 12:00:00 AM
38.82,-69.28,Atlantic Ocean,,Ocean water,0.024108,pieces/m3,Medium,10/13/1991 12:00:00 AM
38.82,-69.28,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/13/1991 12:00:00 AM
38.18,-68.52,Atlantic Ocean,,Ocean water,0.149028,pieces/m3,Medium,10/13/1991 12:00:00 AM
38.18,-68.52,Atlantic Ocean,,Ocean water,0.047516,pieces/m3,Medium,10/13/1991 12:00:00 AM
37.47,-66.97,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/14/1991 12:00:00 AM
37.47,-66.97,Atlantic Ocean,,Ocean water,0.01944,pieces/m3,Medium,10/14/1991 12:00:00 AM
37.18,-66.13,Atlantic Ocean,,Ocean water,0.153348,pieces/m3,Medium,10/14/1991 12:00:00 AM
37.18,-66.13,Atlantic Ocean,,Ocean water,0.356372,pieces/m3,Medium,10/14/1991 12:00:00 AM
36.87,-65.08,Atlantic Ocean,,Ocean water,0.047516,pieces/m3,Medium,10/15/1991 12:00:00 AM
36.87,-65.08,Atlantic Ocean,,Ocean water,0.051836,pieces/m3,Medium,10/15/1991 12:00:00 AM
36.23,-64.02,Atlantic Ocean,,Ocean water,0.092872,pieces/m3,Medium,10/15/1991 12:00:00 AM
36.23,-64.02,Atlantic Ocean,,Ocean water,0.047516,pieces/m3,Medium,10/15/1991 12:00:00 AM
35.95,-63.82,Atlantic Ocean,,Ocean water,0.075592,pieces/m3,Medium,10/16/1991 12:00:00 AM
35.95,-63.82,Atlantic Ocean,,Ocean water,0.0216,pieces/m3,Medium,10/16/1991 12:00:00 AM
35.88,-58.98,Atlantic Ocean,,Ocean water,0.071276,pieces/m3,Medium,10/18/1991 12:00:00 AM
35.88,-58.98,Atlantic Ocean,,Ocean water,0.073436,pieces/m3,Medium,10/18/1991 12:00:00 AM
35.17,-58.58,Atlantic Ocean,,Ocean water,0.146868,pieces/m3,Medium,10/18/1991 12:00:00 AM
35.17,-58.58,Atlantic Ocean,,Ocean water,0.0108,pieces/m3,Medium,10/18/1991 12:00:00 AM
35.88,-58.03,Atlantic Ocean,,Ocean water,0.036716,pieces/m3,Medium,10/19/1991 12:00:00 AM
35.88,-58.03,Atlantic Ocean,,Ocean water,0.02376,pieces/m3,Medium,10/19/1991 12:00:00 AM
31.27,-57.37,Atlantic Ocean,,Ocean water,0.028076,pieces/m3,Medium,10/20/1991 12:00:00 AM
31.27,-57.37,Atlantic Ocean,,Ocean water,0.084232,pieces/m3,Medium,10/20/1991 12:00:00 AM
29.97,-57.38,Atlantic Ocean,,Ocean water,0.060476,pieces/m3,Medium,10/20/1991 12:00:00 AM
29.97,-57.38,Atlantic Ocean,,Ocean water,0.066956,pieces/m3,Medium,10/20/1991 12:00:00 AM
29.42,-57.48,Atlantic Ocean,,Ocean water,0.079912,pieces/m3,Medium,10/20/1991 12:00:00 AM
29.42,-57.48,Atlantic Ocean,,Ocean water,0.041036,pieces/m3,Medium,10/20/1991 12:00:00 AM
28.78,-57.3,Atlantic Ocean,,Ocean water,0.058316,pieces/m3,Medium,10/21/1991 12:00:00 AM
28.78,-57.3,Atlantic Ocean,,Ocean water,0.120952,pieces/m3,Medium,10/21/1991 12:00:00 AM
26.1,-57.6,Atlantic Ocean,,Ocean water,0.00864,pieces/m3,Medium,10/23/1991 12:00:00 AM
26.1,-57.6,Atlantic Ocean,,Ocean water,0.032396,pieces/m3,Medium,10/23/1991 12:00:00 AM
24.8,-57.9,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/23/1991 12:00:00 AM
24.8,-57.9,Atlantic Ocean,,Ocean water,0.01944,pieces/m3,Medium,10/23/1991 12:00:00 AM
24.07,-58.13,Atlantic Ocean,,Ocean water,0.0108,pieces/m3,Medium,10/23/1991 12:00:00 AM
24.07,-58.13,Atlantic Ocean,,Ocean water,0.0108,pieces/m3,Medium,10/23/1991 12:00:00 AM
22.98,-58.13,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/24/1991 12:00:00 AM
22.98,-58.13,Atlantic Ocean,,Ocean water,0.00864,pieces/m3,Medium,10/24/1991 12:00:00 AM
22.05,-58.63,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/25/1991 12:00:00 AM
22.05,-58.63,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/25/1991 12:00:00 AM
21.52,-58.9,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/25/1991 12:00:00 AM
21.52,-58.9,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/26/1991 12:00:00 AM
21.37,-58.67,Atlantic Ocean,,Ocean water,0.045356,pieces/m3,Medium,10/26/1991 12:00:00 AM
21.37,-58.67,Atlantic Ocean,,Ocean water,0.01944,pieces/m3,Medium,10/26/1991 12:00:00 AM
20.68,-58.57,Atlantic Ocean,,Ocean water,0.01728,pieces/m3,Medium,10/26/1991 12:00:00 AM
20.68,-58.57,Atlantic Ocean,,Ocean water,0.00432,pieces/m3,Low,10/27/1991 12:00:00 AM
19.27,-58.58,Atlantic Ocean,,Ocean water,0.00216,pieces/m3,Low,10/28/1991 12:00:00 AM
19.27,-58.58,Atlantic Ocean,,Ocean water,0.0,pieces/m3,Very Low,10/28/1991 12:00:00 AM
